size,problem_id,heuristic,nodes_expanded,wall_time_total,wall_time_heuristic,path_length,optimal_len,suboptimality,violation_rate,mean_overestimation,h_calls
100,20,manhattan,28,0.0002489000326022506,2.620008308440447e-05,14,14,1.0,0.0,0.0,46
100,20,euclidean,33,0.00027440005214884877,3.6400044336915016e-05,14,14,1.0,0.0,0.0,51
100,20,nn,87,0.017845400026999414,0.016627100063487887,14,14,1.0,0.006,2.1698977947235107,114
100,21,manhattan,119,0.0010689999908208847,0.00011769990669563413,109,109,1.0,0.0,0.0,235
100,21,euclidean,2306,0.017394500027876347,0.0016592994215898216,109,109,1.0,0.0,0.0,2424
100,21,nn,3380,0.5588974000420421,0.5145533989416435,109,109,1.0,0.002,0.011767387390136719,3503
100,22,manhattan,642,0.0048167999484576285,0.00044400006299838424,81,81,1.0,0.0,0.0,883
100,22,euclidean,1359,0.009733000013511628,0.0009328002925030887,81,81,1.0,0.0,0.0,1449
100,22,nn,2235,0.37794420000864193,0.3483910986687988,81,81,1.0,0.0,0.0,2384
100,23,manhattan,63,0.0007725000032223761,8.299987530335784e-05,55,55,1.0,0.0,0.0,129
100,23,euclidean,460,0.0038431999855674803,0.00039100012509152293,55,55,1.0,0.0,0.0,521
100,23,nn,978,0.17476990004070103,0.16153969860170037,55,55,1.0,0.004,0.49833619594573975,1097
100,24,manhattan,384,0.003720700042322278,0.00034659996163100004,74,74,1.0,0.0,0.0,584
100,24,euclidean,1086,0.008471399953123182,0.0008625995833426714,74,74,1.0,0.0,0.0,1192
100,24,nn,1865,0.3198446999886073,0.29496129718609154,74,74,1.0,0.036,1.8862286938561335,1960
100,25,manhattan,753,0.006078600010368973,0.0005717004532925785,92,92,1.0,0.0,0.0,1028
100,25,euclidean,1665,0.016926500014960766,0.0016737994155846536,92,92,1.0,0.0,0.0,1787
100,25,nn,3010,0.5126137000042945,0.4720182004966773,92,92,1.0,0.008,0.5892395973205566,3145
100,26,manhattan,1434,0.018769700021948665,0.0016960998764261603,136,136,1.0,0.0,0.0,2023
100,26,euclidean,3622,0.027605000010225922,0.0026094995555467904,136,136,1.0,0.0,0.0,3734
100,26,nn,4934,0.8442245000042021,0.7776657023350708,136,136,1.0,0.0,0.0,5156
100,27,manhattan,298,0.0024526999914087355,0.00020970008336007595,65,65,1.0,0.0,0.0,406
100,27,euclidean,658,0.005300899967551231,0.0005290999542921782,65,65,1.0,0.0,0.0,736
100,27,nn,1176,0.2421938999905251,0.22333759837783873,65,65,1.0,0.004,0.7213892936706543,1275
100,28,manhattan,600,0.00529820000519976,0.0004914000164717436,146,146,1.0,0.0,0.0,966
100,28,euclidean,4922,0.03959880000911653,0.003565997933037579,146,146,1.0,0.0,0.0,5092
100,28,nn,6661,1.0898414999828674,1.0025268961908296,146,146,1.0,0.012,0.6373188893000284,6934
100,29,manhattan,164,0.0015776999644003808,0.00017859973013401031,66,66,1.0,0.0,0.0,264
100,29,euclidean,845,0.006446400017011911,0.0006327001028694212,66,66,1.0,0.0,0.0,922
100,29,nn,1613,0.3236948000267148,0.298312199767679,66,66,1.0,0.006,1.27280060450236,1748
